code,x,y,value
VARCHAR,DOUBLE,DOUBLE,FLOAT
59072,112.3670,24.80,0.0
59071,112.2830,24.7330,0.0
59476,113.0330,22.5330,4.60
59492,114.70,22.9170,5.50
59075,112.6330,24.4830,5.60
59288,113.1330,23.05,5.80
59280,113.05,23.6670,6.0
59117,116.10,24.2670,6.20
59297,114.2830,23.1830,6.30
59315,116.3830,23.5670,6.30
59276,112.65,23.35,6.40
59279,112.8670,23.1830,6.40
59271,112.4330,23.6330,6.40
59096,114.4830,24.3670,6.50
59114,116.1670,24.65,6.50
59081,113.2670,24.7830,6.60
59074,112.15,24.5670,6.70
57988,113.35,25.15,6.80
59290,114.2330,23.7330,6.90
59106,115.90,24.5830,7.10
59475,112.65,22.40,7.20
59477,112.30,22.1830,7.20
59293,114.7330,23.80,7.30
59294,113.8330,23.3330,7.30
59116,116.70,24.3330,7.40
59487,113.30,22.2330,7.50
57989,113.7330,25.10,7.50
57996,114.3170,25.1330,7.50
59298,114.4170,23.0830,7.50
59094,114.1170,24.3670,7.60
59090,114.0670,24.95,7.60
59473,112.9670,22.7670,7.60
59485,113.40,22.50,7.70
59462,111.60,22.70,7.80
59087,113.5170,23.8830,7.80
59318,116.5830,23.2670,7.90
59097,114.20,24.05,7.90
59673,112.7670,21.7330,7.90
59310,116.1830,23.7670,7.90
59287,113.4830,23.2170,8.0
59319,116.7670,23.4670,8.10
59313,116.9830,23.6830,8.10
59082,113.60,24.6670,8.20
59500,115.3170,22.9670,8.20
59654,110.30,21.6330,8.20
59480,113.25,22.85,8.20
59289,113.7330,22.9670,8.30
59306,115.85,23.45,8.30
59316,116.6830,23.40,8.30
59099,114.9330,24.45,8.50
59284,113.2170,23.3830,8.60
59304,115.1830,23.6330,8.60
59470,112.2170,22.7170,8.70
59481,113.3170,22.9330,8.70
59109,115.7330,24.15,8.80
59312,116.6330,23.6670,8.80
59303,115.7670,23.9330,8.80
59278,112.45,23.0330,8.90
59088,113.4170,24.1830,8.90
59653,110.85,21.9330,8.90
59655,110.6170,21.65,8.90
59471,112.05,22.9330,9.0
59502,115.65,22.95,9.0
59317,116.30,23.0330,9.0
59501,115.3670,22.80,9.10
59285,113.60,23.5670,9.10
59314,116.1330,23.30,9.20
59478,112.7830,22.25,9.40
59469,111.7830,22.1670,9.50
59659,110.9170,21.75,9.50
59663,111.9670,21.8330,9.60
59664,110.9830,21.5330,9.60
59324,117.0330,23.4330,9.60
59493,114.0,22.5330,9.60
59269,111.7670,23.15,9.60
59650,110.25,21.3830,9.60
59270,112.1830,23.9170,9.70
59754,110.1830,20.3330,9.70
59268,111.5330,23.25,9.80
59488,113.5670,22.2830,9.80
59264,111.50,23.45,9.80
59750,110.0670,20.9670,9.90
59107,115.25,24.10,9.90
59456,110.9330,22.35,10.0
59656,110.7670,21.4330,10.30
59658,110.30,21.15,10.30