StationName,StationNum,y,x,z,t,t10,t20,r
VARCHAR,VARCHAR,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
稻城,56357,29.05,100.3,3727.7,4.8,917.6,0,654.3
汉源,56376,29.35,102.63,1098,17.8,5770.6,2959.3,756
石棉,56378,29.23,102.35,890.7,17.1,5483.2,2483.9,815.6
峨边,56387,29.23,103.27,642.2,16.7,5260,2805.1,803.8
犍为,56389,29.2,103.95,387.6,17.6,5643,3298.7,1111.5
荣县,56394,29.45,104.43,384.1,17.6,5628.8,3388.2,933.3
自贡,56396,29.35,104.77,352.6,17.9,5719.4,3467.1,989.5
富顺,56399,29.18,104.98,306.2,18,5791.9,3517,1017.1
得荣,56441,28.72,99.28,2422.9,14.8,4524.8,1119.1,347.1
乡城,56443,28.93,99.8,2842,10.8,3008.2,164.7,483.1
德钦,56444,28.48,98.92,3319,6.3,1515.5,0,696.7
德钦,56444,28.48,98.92,3319,5.4,1028.3,0,565.6
木里,56459,27.93,101.27,2426.5,14,4030.9,261.2,810.3
九龙,56462,29,101.5,2925,9.1,2161.8,0,922.6
甘洛,56473,28.95,102.77,1060.3,16.5,5142.8,2270.3,978
冕宁,56474,28.55,102.17,1774,14.1,4188.4,635.4,1106.8
越西,56475,28.65,102.52,1659.5,13.2,3805.1,692,1115.3
喜德,56478,28.3,102.43,1818.1,14.2,4147.3,627.9,1056
昭觉,56479,28,102.85,2132.4,11.1,2893.2,210.8,1032.9
马边,56480,28.82,103.53,564.1,17.1,5413.8,2939.8,976
绥江,56483,28.6,103.95,413.1,17.9,5771.1,3460.7,892.5
雷波,56485,28.27,103.58,1255.8,14,4168.8,1286.1,847.8
雷波,56485,28.27,103.58,1255.8,11.9,3348.4,720.3,839.1
美姑,56487,28.33,103.13,1943.9,12.8,3529.3,425.2,836.6
美姑,56487,28.33,103.13,1943.9,11.2,2849.5,233.7,817
永善,56489,28.23,103.63,877.2,16.6,5170.7,2392,685
沐川,56490,28.95,103.9,396.9,17.3,5496.3,3107.2,1236.7
宜宾,56492,28.8,104.6,340.8,18,5782.1,3551.4,1017.6
南溪,56493,28.85,104.97,292.8,18.1,5825.5,3544.1,995.1
屏山,56494,28.65,104.15,462,18.4,5993.4,3618.7,920
兴文,56496,28.32,105.23,358.2,17.8,5675.5,3254.2,1095.8
盐津,56497,28.1,104.23,448.8,17.8,5687.4,3306.9,1092.7
筠连,56498,28.17,104.5,441.7,17.6,5587.6,3256.1,1048.8
珙县,56499,28.38,104.78,368.2,17.8,5690.9,3361.1,1171.1
贡山,56533,27.75,98.67,1583.3,14.7,4321.9,1353.6,1778.5
香格里拉,56543,27.83,99.7,3276.7,6.3,1605.3,0,651.1
维西,56548,27.17,99.28,2326.1,11.8,3201,126.5,971.5
盐源,56565,27.43,101.52,2545,12.3,3372.9,98.5,828.6
宁蒗,56567,27.3,100.85,2240.5,12.6,3688.3,244.1,936.1
德昌,56569,27.42,102.18,1380,17.7,5861.9,1885,1074.4
西昌,56571,27.9,102.27,1590.9,17.2,5405,1361.7,1025.1
普格,56575,27.37,102.55,1428,16.7,5186.9,1373.4,1165.6
宁南,56578,27.07,102.75,993.6,19.1,6293,2690.2,1023.5
布拖,56580,27.72,102.8,2460,10.4,2454.3,55.5,1110.1
大关,56582,27.75,103.9,1176.2,14.5,4407.9,1579.2,994.7
金阳,56584,27.7,103.25,1093,15.9,4874.1,1673.3,793.2
鲁甸,56585,27.18,103.53,1916,12.2,3307.2,363.7,852.9
昭通,56586,27.35,103.72,1949.5,11.8,3159.8,320,674.6
高县,56592,28.43,104.52,359.7,18,5753.7,3465.7,974.8
长宁,56593,28.58,104.92,279.1,18.3,5917.1,3705,1041.7
彝良,56594,27.63,104.05,880.4,17.1,5373,2741.9,737.3
镇雄,56595,27.42,104.87,1645.2,11.6,3216.1,483.5,889.4
威信,56596,27.85,105.05,1177.2,13.6,4039.1,1340.5,1038
赫章,56598,27.13,104.73,1535.1,13.5,3866.2,935.2,832.9
福贡,56641,26.9,98.87,1189.7,17,5578,2728.7,1470.4
六库,56643,25.87,98.85,949.9,20.2,7397,4154.4,977.2
兰坪,56645,26.42,99.42,2344.9,11.3,3146.5,11.6,981.6
剑川,56646,26.53,99.92,2191.4,12.6,3596.3,194.2,749.2
洱源,56649,26.1,99.97,2059.9,14.4,4393.3,532.6,714.3
丽江,56651,26.85,100.22,2380.9,12.9,3655.3,161.9,980.3
永胜,56652,26.68,100.75,2130.5,13.7,4035.2,304,950.8
鹤庆,56654,26.58,100.18,2195.4,13.8,4049.9,284.5,997.3
华坪,56664,26.63,101.27,1230.8,19.6,7000.2,3343.8,1087.8
盐边,56665,26.68,101.85,1140.3,20.3,7215.9,3561.7,931.2
盐边,56665,26.68,101.85,1140.3,19,6554,3519.6,1087.2
攀枝花,56666,26.58,101.72,1190.1,20.9,7526,4033,838.7
永仁,56669,26.05,101.67,1531.3,17.4,5742.5,2175,884.1
米易,56670,26.9,102.12,1103.9,19.9,7073,3477.9,1101.2
会理,56671,26.65,102.25,1787.3,15.2,4767.1,953.9,1162.5
巧家,56673,26.92,102.92,893.9,20.8,7257.1,4009.7,829.2
仁和,56674,26.5,101.73,1108,20.6,7388.8,4073.2,818.9
会东,56675,26.65,102.58,1694.5,16.2,5102.7,1358.8,1095.5
会泽,56684,26.42,103.28,2110.5,13,3522.6,224.2,791.5
东川,56688,26.1,103.17,1254.1,19.9,6615.5,2813.8,741.3
威宁,56691,26.87,104.28,2237.5,10.8,2591.1,80.9,859.4
水城,56693,26.58,104.87,1815.9,12.6,3446.2,349.4,1176.7
宣威,56697,26.22,104.08,1984.2,13.7,3816.6,304.5,973.9
腾冲,56739,25.02,98.5,1654.6,15.4,4978.7,440,1532.4
云龙,56742,25.9,99.37,1658.5,16.2,5232.6,2028.3,780.3
漾濞,56745,25.68,99.95,1626.1,16.4,5312.5,1715.2,1029.1
永平,56746,25.47,99.52,1616.7,15.8,5056.3,1855.1,952
保山,56748,25.12,99.18,1652.2,16.2,5293.9,1741.8,992.2
大理,56751,25.7,100.18,1990.5,15.1,4717.4,498.3,1054.9
宾川,56752,25.83,100.57,1438.7,18.4,6279,3185,563.9
弥渡,56755,25.35,100.48,1668.5,16.7,5385.5,1739.6,788.5
祥云,56756,25.48,100.58,1992.9,14.8,4529.1,459,822.5
巍山,56757,25.27,100.28,1742.1,15.9,5105.2,1465.2,815.5
大姚,56761,25.72,101.32,1878.1,15.8,4954.6,756.7,819.6
元谋,56763,25.73,101.87,1120.6,21.4,7741,4698.3,657.5
姚安,56764,25.53,101.23,1873.5,15.5,4885,800.8,781.2
牟定,56766,25.33,101.52,1768.8,16.2,5200.9,1196.6,882.8
南华,56767,25.18,101.28,1857.4,14.8,4546.1,640.6,843.2
楚雄,56768,25.03,101.55,1824.1,16.4,5316.6,1129,890.5
富民,56772,25.23,102.5,1692.7,16,5033.9,1126.5,863.3
武定,56774,25.53,102.42,1710.7,15.2,4729.7,1007.6,966.9
禄劝,56775,25.55,102.45,1750.9,15.8,5030.7,1303.7,969.7
禄丰,56777,25.15,102.07,1566.1,16.2,5231.9,1652.5,937.2
昆明,56778,25,102.65,1888.1,15.5,4769,629.9,979.3
寻甸,56781,25.55,103.27,1873.2,14.9,4448.1,495.3,1022.4
马龙,56782,25.42,103.55,2067.1,13.8,3858.5,174.5,979.6
曲靖,56783,25.5,103.8,1906.2,15.1,4446.9,525.4,944.8
嵩明,56785,25.33,103.03,1919.7,14.4,4300.5,357.6,1006.8
沾益,56786,25.58,103.83,1898.7,14.6,4248.8,390,947.1
陆良,56788,25.03,103.67,1841,15.1,4538.5,532.3,897.7
富源,56790,25.68,104.25,1925.8,14.3,4088.4,452.1,1067.5
普安,56792,25.78,104.97,1649.4,13.9,3964.3,704.6,1353.8
盘县,56793,25.72,104.47,1800,15.3,4566.4,1364.1,1383.4
陇川,56835,24.07,97.82,959.1,18.8,6707.9,3940.3,1618
盈江,56836,24.7,97.95,826.7,19.7,7195.6,4535.5,1545.3
瑞丽,56838,24,97.85,762.9,20.7,7566.1,5068.9,1450.2
镇康,56839,23.77,98.82,995.3,18.8,6814.4,3747,1623.7
粱河,56840,24.82,98.3,1012.9,18.4,6589.5,3591.6,1415.5
龙陵,56841,24.6,98.68,1528,15,4749,451.6,2112.6
施甸,56842,24.73,99.18,1471.2,17.1,5761.6,2470,1002.3
昌宁,56843,24.83,99.62,1650.6,15.1,4756.1,877.8,1228.9
芒市,56844,24.43,98.58,913.8,19.8,7243.4,4452.4,1638.7
凤庆,56846,24.58,99.93,1569,16.9,5768.7,1486,1366.6
永德,56849,24.03,99.23,1606.2,17.7,6322.7,1018.4,1260.4
南涧,56851,25.03,100.52,1377.2,19.3,6923.2,3547.4,761.3
云县,56854,24.45,100.13,1108.6,19.9,7286.4,4183.2,914.9
景东,56856,24.47,100.87,1162.3,18.8,6762.7,3583.9,1154.5
双柏,56862,24.68,101.6,1968.1,15.2,4638.5,336.1,961.1
安宁,56863,24.93,102.48,1848,15.3,4736.7,671,909.8
镇沅,56867,23.98,101.12,1105.4,19.6,7164.8,3860.3,1284.1
镇沅,56867,23.98,101.12,1105.4,18.8,6790.8,3403.1,1237.5
新平,56869,24.07,101.97,1497.5,17.5,5929.4,2145.1,951.5
易门,56870,24.67,102.17,1575.9,16.5,5358.3,1865.5,843.5
晋宁,56871,24.65,102.6,1893.1,15.3,4736.3,530.4,875.2
晋宁,56871,24.65,102.6,1893.1,15.3,4706.5,402.3,883
太华山,56872,24.95,102.62,2358.3,12.6,3277,11.7,1135.4
澄江,56873,24.67,102.9,1746.4,16.1,4986.3,958,924.9
玉溪,56875,24.33,102.55,1716.9,16.3,5252.9,1264.7,909.1
江川,56876,24.28,102.77,1731.1,15.9,4978.8,907.8,848.7
通海,56878,24.13,102.75,1801.8,16,4965.9,637.5,899.3
华宁,56879,24.2,102.92,1608.4,16.3,5199.2,1452.2,898.3
宜良,56880,24.92,103.17,1532.5,16.6,5196.8,1602.1,860.3
石林,56881,24.73,103.27,1679.8,16.3,5068.6,1085.5,939.5
呈贡,56882,24.88,102.8,1906.6,15.2,4629,513.7,799.5
师宗,56883,24.83,103.98,1844.2,14.3,4042.1,355.8,1146.9
弥勒,56885,24.4,103.45,1415.5,17.3,5497.7,2203.3,905.6
泸西,56886,24.53,103.77,1704.3,15.2,4590,687,878.5
丘北,56889,24.05,104.17,1518.7,16.7,5091.3,1591.1,1143.3
罗平,56891,24.98,104.32,1482.7,15.3,4569,1201.4,1595.6
峨山,56898,24.18,102.4,1538.6,16.2,5193.7,1479.3,925.8
沧源,56944,23.15,99.27,1278.3,17.7,6339.7,2854,1747.2
耿马,56946,23.55,99.4,1104.9,19.4,6979.9,4009.8,1315.5
西盟,56948,22.63,99.6,1155,19.6,7179.2,3866.6,1840.6
西盟,56948,22.63,99.6,1155,15.6,5363.1,108.7,2806.3
孟连,56949,22.32,99.6,945,20.1,7349.3,4578.7,1362.7
双江,56950,23.47,99.8,1044.1,19.9,7287.1,4473.8,995.3
临沧,56951,23.88,100.08,1502.4,17.8,6387.4,2381.5,1148.9
景谷,56952,23.5,100.7,913.2,20.5,7497.7,4755.4,1320.1
澜沧,56954,22.57,99.93,1054.8,19.7,7217.6,4239.8,1586.5
勐海,56958,21.92,100.42,1176.3,18.9,6809,3569.6,1318.5
景洪,56959,22,100.78,582,22.6,8268.8,6080.7,1136.6
宁洱,56961,23.03,101.05,1320.2,18.6,6701.5,3029.5,1483.1
墨江,56962,23.42,101.67,1314.6,18.4,6608.6,2978.3,1306
思茅,56964,22.78,100.97,1302.1,18.9,6864.3,3244.3,1470.5
元江,56966,23.6,101.98,400.9,23.9,8719.6,6521.7,804.3
勐腊,56969,21.48,101.57,631.9,21.8,7964.8,5569.2,1513
石屏,56970,23.7,102.48,1419.3,18.1,6215.8,2574.5,923.5
建水,56973,23.62,102.83,1309.3,19,6533.3,3219.5,792.9
红河,56975,23.37,102.43,974.5,20.6,7306.3,4163.7,832
元阳,56976,23.23,102.83,232,24.4,8769.1,6608.4,876.3
元阳,56976,23.23,102.83,232,16.5,5196.2,923.1,1434.3
江城,56977,22.58,101.85,1120.5,18.8,6732.6,3465.1,2253.3
绿春,56978,23,102.42,1642.8,17.1,5764.3,533.3,2042.4
开远,56982,23.7,103.25,1051.8,20.1,7072.6,4018.1,770.6
个旧,56984,23.38,103.15,1720.5,16.5,5120.4,729.4,1097.8
蒙自,56985,23.38,103.38,1300.7,19,6376.1,3115.3,855
屏边,56986,22.98,103.68,1414.1,16.4,5032.6,1339.4,1620.7
金平,56987,22.78,103.23,1260,18.2,6059.5,2505.8,2358.6
河口,56989,22.5,103.95,137.8,23.3,8503.9,6071.2,1770.1
砚山,56991,23.62,104.33,1561.1,16.3,4950.7,1033.1,990.2
西畴,56992,23.45,104.7,1507.5,16.3,4912.4,1246.9,1270.6
文山,56994,23.38,104.25,1271.6,18.4,6020.5,3043,974.6
马关,56995,23.03,104.42,1332.9,17.2,5443.1,2260.5,1286.3
麻栗坡,56996,23.13,104.7,1093.4,17.8,5807.9,3053.2,1059.3
荣昌,57505,29.42,105.58,338,17.6,5594.2,3291.9,1064.1
永川,57506,29.37,105.9,353,17.7,5667.7,3342.1,1015
隆昌,57507,29.33,105.3,373.4,17.3,5518.3,3197.7,1057
泸县,57508,29.15,105.37,301,18,5810.5,3402.5,1016.2
江津,57517,29.28,106.25,261.4,18.3,5935.2,3620.2,1000.7
巴南,57518,29.38,106.53,243.6,18.4,5985.1,3623.4,1070.3
江安,57600,28.72,105.07,263,18,5670.4,3397.7,1075.7
合江,57603,28.82,105.83,283.4,18,5767.5,3377.7,1122.2
纳溪,57604,28.78,105.38,368.8,17.6,5552.1,3163.6,1136.6
古蔺,57605,28.03,105.82,537.7,17.6,5566,3204.5,751.1
叙永,57608,28.17,105.43,377.5,18,5767.4,3360,1124.2
赤水,57609,28.58,105.7,317,18,5751.9,3342.6,1195.7
习水,57614,28.33,106.22,1180.2,13.3,3879.1,1286,1073.9
毕节,57707,27.3,105.28,1510.6,13,3742.4,920.3,865.9
大方,57708,27.15,105.6,1700,12.1,3317.1,584.7,1085.4
仁怀,57710,27.8,106.4,890.3,15.8,4862.7,2303.2,1025.4
金沙,57714,27.47,106.23,942,15.2,4628.1,2199.4,1029.2
纳雍,57800,26.77,105.37,1457.1,13.7,4011.9,1038.2,1203
黔西,57803,27.03,106.02,1231.4,14.2,4264.1,1690.5,944.5
织金,57805,26.68,105.77,1319.3,14.3,4234.9,1482.2,1355.4
安顺,57806,26.25,105.9,1431.1,14.2,4214.2,1391.9,1348.9
六枝,57807,26.2,105.47,1361.9,14.8,4406.7,1480,1480
普定,57808,26.32,105.75,1274.5,15.2,4607.7,1855.7,1340.6
镇宁,57809,26.07,105.75,1251,15.3,4646.7,1836.9,1347
清镇,57813,26.57,106.47,1261.9,14.4,4279.1,1579.6,1141.9
平坝,57814,26.42,106.27,1298.2,14.3,4227,1485.1,1244.2
长顺,57818,26.03,106.45,1140,15.5,4705.9,2118.1,1347
晴隆,57900,25.83,105.22,1552.7,14.2,4103.2,928.9,1492.1
兴仁,57902,25.43,105.18,1378.5,15.5,4653.7,1620.7,1321.9
关岭,57903,25.93,105.6,1142,16.4,5034.4,2445.4,1327.7
贞丰,57905,25.4,105.63,1063.3,16.6,5119.5,2534.6,1318.1
望谟,57906,25.18,106.08,566.8,19.5,6445.8,3974.8,1241.1
兴义,57907,25.08,104.9,1299.6,16.4,4948.8,2024.9,1451
安龙,57908,25.12,105.48,1394.5,15.3,4536.6,1519.2,1195.4
册亨,57909,24.98,105.82,584.8,19.4,6358.9,3738.2,1244.4
紫云,57910,25.77,106.08,1197.6,15.5,4674.2,2032.3,1250.1
隆林,59001,24.78,105.33,672.2,19.3,6381.4,3777.8,1149.2
西林,59004,24.5,105.1,725.9,19.5,6510.3,3944.3,1061.7
广南,59007,24.07,105.07,1249.6,17,5266.6,2370.1,994.7
田林,59017,24.27,106.27,278.2,20.8,7259,4720.9,1193.3
富宁,59205,23.65,105.63,685.8,19.8,6656.8,4062.7,1103.5
那坡,59209,23.42,105.83,794.1,19.1,6233.9,3580.1,1353.1
靖西,59218,23.13,106.42,739.9,19.5,6469.1,4042,1634.2
